2026-06-06 23:08:24.991 [main] INFO  c.q.factor.FactorEngineApplication - Starting FactorEngineApplication using Java 21.0.10 with PID 3448 (C:\Users\wangw\ai-quant-stock\services\factor-engine-service\target\factor-engine-service-1.0.0-SNAPSHOT.jar started by wangw in C:\Users\wangw\ai-quant-stock)
2026-06-06 23:08:24.996 [main] INFO  c.q.factor.FactorEngineApplication - No active profile set, falling back to 1 default profile: "default"
2026-06-06 23:08:26.270 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-06-06 23:08:26.273 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-06-06 23:08:26.293 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 4 ms. Found 0 Redis repository interfaces.
2026-06-06 23:08:26.421 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.quant.factor]' package. Please check your configuration.
2026-06-06 23:08:27.411 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8082 (http)
2026-06-06 23:08:27.427 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-06-06 23:08:27.428 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2026-06-06 23:08:27.553 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-06-06 23:08:27.554 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2204 ms
2026-06-06 23:08:33.256 [main] INFO  c.x.job.core.executor.XxlJobExecutor - >>>>>>>>>>> xxl-job register jobhandler success, name:calcIndicatorsJob, jobHandler:com.xxl.job.core.handler.impl.MethodJobHandler@13dc6649[class com.quant.factor.job.FactorJobHandler#calcIndicators]
2026-06-06 23:08:33.266 [main] INFO  c.x.job.core.executor.XxlJobExecutor - >>>>>>>>>>> xxl-job register jobhandler success, name:calcScoresJob, jobHandler:com.xxl.job.core.handler.impl.MethodJobHandler@2ffb0d10[class com.quant.factor.job.FactorJobHandler#calcScores]
2026-06-06 23:08:33.268 [main] INFO  c.x.job.core.executor.XxlJobExecutor - >>>>>>>>>>> xxl-job register jobhandler success, name:calcIndustryStrengthJob, jobHandler:com.xxl.job.core.handler.impl.MethodJobHandler@3982206a[class com.quant.factor.job.FactorJobHandler#calcIndustryStrength]
2026-06-06 23:08:34.126 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8082 (http) with context path ''
2026-06-06 23:08:34.140 [main] INFO  c.q.factor.FactorEngineApplication - Started FactorEngineApplication in 9.797 seconds (process running for 10.903)
2026-06-06 23:08:42.023 [Thread-3] INFO  com.xxl.job.core.server.EmbedServer - >>>>>>>>>>> xxl-job remoting server start success, nettype = class com.xxl.job.core.server.EmbedServer, port = 9992
2026-06-06 23:10:19.311 [main] INFO  c.q.factor.FactorEngineApplication - Starting FactorEngineApplication using Java 21.0.10 with PID 21372 (C:\Users\wangw\ai-quant-stock\services\factor-engine-service\target\factor-engine-service-1.0.0-SNAPSHOT.jar started by wangw in C:\Users\wangw\ai-quant-stock)
2026-06-06 23:10:19.314 [main] INFO  c.q.factor.FactorEngineApplication - No active profile set, falling back to 1 default profile: "default"
2026-06-06 23:10:20.445 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-06-06 23:10:20.449 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-06-06 23:10:20.472 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 6 ms. Found 0 Redis repository interfaces.
2026-06-06 23:10:20.593 [main] WARN  o.m.s.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.quant.factor]' package. Please check your configuration.
2026-06-06 23:10:21.579 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8082 (http)
2026-06-06 23:10:21.593 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-06-06 23:10:21.594 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
