2026-06-06 23:08:26.138 [main] INFO  c.quant.strategy.StrategyApplication - Starting StrategyApplication using Java 21.0.10 with PID 38796 (C:\Users\wangw\ai-quant-stock\services\strategy-service\target\strategy-service-1.0.0-SNAPSHOT.jar started by wangw in C:\Users\wangw\ai-quant-stock)
2026-06-06 23:08:26.141 [main] INFO  c.quant.strategy.StrategyApplication - No active profile set, falling back to 1 default profile: "default"
2026-06-06 23:08:27.402 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-06-06 23:08:27.406 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-06-06 23:08:27.439 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 15 ms. Found 0 Redis repository interfaces.
2026-06-06 23:08:32.003 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8083 (http)
2026-06-06 23:08:32.103 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-06-06 23:08:32.111 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2026-06-06 23:08:33.397 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-06-06 23:08:33.413 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 6887 ms
2026-06-06 23:08:35.435 [main] WARN  c.b.m.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.quant.common.entity.StockScore".
2026-06-06 23:08:35.436 [main] WARN  c.b.m.c.injector.DefaultSqlInjector - class com.quant.common.entity.StockScore ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2026-06-06 23:08:35.460 [main] INFO  c.x.job.core.executor.XxlJobExecutor - >>>>>>>>>>> xxl-job register jobhandler success, name:generateRecommendPoolJob, jobHandler:com.xxl.job.core.handler.impl.MethodJobHandler@287ad0da[class com.quant.strategy.job.StrategyJobHandler#generateRecommendPool]
2026-06-06 23:08:35.820 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8083 (http) with context path ''
2026-06-06 23:08:35.830 [main] INFO  c.quant.strategy.StrategyApplication - Started StrategyApplication in 10.473 seconds (process running for 11.455)
2026-06-06 23:08:42.857 [Thread-3] INFO  com.xxl.job.core.server.EmbedServer - >>>>>>>>>>> xxl-job remoting server start success, nettype = class com.xxl.job.core.server.EmbedServer, port = 9993
2026-06-06 23:10:20.542 [main] INFO  c.quant.strategy.StrategyApplication - Starting StrategyApplication using Java 21.0.10 with PID 23544 (C:\Users\wangw\ai-quant-stock\services\strategy-service\target\strategy-service-1.0.0-SNAPSHOT.jar started by wangw in C:\Users\wangw\ai-quant-stock)
2026-06-06 23:10:20.546 [main] INFO  c.quant.strategy.StrategyApplication - No active profile set, falling back to 1 default profile: "default"
2026-06-06 23:10:21.888 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-06-06 23:10:21.892 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-06-06 23:10:21.929 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 18 ms. Found 0 Redis repository interfaces.
2026-06-06 23:10:23.154 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8083 (http)
2026-06-06 23:10:23.169 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-06-06 23:10:23.170 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2026-06-06 23:10:23.327 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-06-06 23:10:23.327 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2414 ms
2026-06-06 23:10:25.623 [main] WARN  c.b.m.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.quant.common.entity.StockScore".
2026-06-06 23:10:25.623 [main] WARN  c.b.m.c.injector.DefaultSqlInjector - class com.quant.common.entity.StockScore ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2026-06-06 23:10:25.654 [main] INFO  c.x.job.core.executor.XxlJobExecutor - >>>>>>>>>>> xxl-job register jobhandler success, name:generateRecommendPoolJob, jobHandler:com.xxl.job.core.handler.impl.MethodJobHandler@654b899f[class com.quant.strategy.job.StrategyJobHandler#generateRecommendPool]
2026-06-06 23:10:26.141 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8083 (http) with context path ''
2026-06-06 23:10:26.151 [main] INFO  c.quant.strategy.StrategyApplication - Started StrategyApplication in 6.356 seconds (process running for 7.333)
2026-06-06 23:10:33.663 [Thread-3] INFO  com.xxl.job.core.server.EmbedServer - >>>>>>>>>>> xxl-job remoting server start success, nettype = class com.xxl.job.core.server.EmbedServer, port = 9993
